ric-12366.txt,Deck Cowboy,[58 - 69],PERSON-NAM-SPC-OTHER-PERSON
ric-12366.txt,Liebenberg,[5623 - 5633],PERSON-NAM-SPC-OTHER-PERSON
ric-12366.txt,CyberTracker,[5675 - 5687],PRODUCT-NONE-SPC-OTHER-PRODUCT
ric-12366.txt,CyberTracker,[5675 - 5687],LAW-NONE-SPC-OTHER-PRODUCT
ric-12366.txt,CyberTracker,[5675 - 5687],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
ric-12366.txt,CyberTracker,[5675 - 5687],PRODUCT-NONE-SPC-OTHER-LAW
ric-12366.txt,CyberTracker,[5675 - 5687],LAW-NONE-SPC-OTHER-LAW
ric-12366.txt,CyberTracker,[5675 - 5687],ORGANIZATION-NONE-SPC-OTHER-LAW
ric-12366.txt,CyberTracker,[5675 - 5687],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
ric-12366.txt,CyberTracker,[5675 - 5687],LAW-NONE-SPC-OTHER-ORGANIZATION
ric-12366.txt,CyberTracker,[5675 - 5687],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
ric-12366.txt,"Centro de Mídia Independente",[6011 - 6039],WEB-NONE-SPC-OTHER-WEB
ric-12366.txt,Cybertracker,[6080 - 6092],WEB-NONE-SPC-OTHER-WEB
